Clustername 1	Clustername 2	Raw distance	Squared similarity	Jaccard index	DSS index	Adjacency index	raw DSS non-anchor	raw DSS anchor	Non-anchor domains	Anchor domains	Combined group	Shared group
BGC0000096.1.region001	BGC0000113.1.region001	0.21796993911266327	0.6115710139274597	1.0	0.7131974697113037	1.0	0.325788676738739	0.18690060079097748	41	16	T1PKS - T1PKS	T1PKS
BGC0000006.1.region001	BGC0000007.1.region001	0.027367711067199707	0.9460135698318481	1.0	0.9639898538589478	1.0	0.039253123104572296	0.023038238286972046	16	4	T1PKS - T1PKS	T1PKS
BGC0000113.1.region001	BGC0001931.1.region001	0.22798322141170502	0.5960099101066589	1.0	0.7015700340270996	0.9411764740943909	0.345512717962265	0.17778033018112183	41	16	T1PKS - T1PKS.oligosaccharide	
BGC0000086.1.region001	BGC0000087.1.region001	0.07296235114336014	0.8593987822532654	0.8461538553237915	0.9531753063201904	0.8235294222831726	0.0541827492415905	0.021684784442186356	82	24	T1PKS - T1PKS	T1PKS
BGC0000007.1.region001	BGC0000009.1.region001	0.1068689227104187	0.7976831197738647	0.9473684430122375	0.8782069683074951	0.8636363744735718	0.13975463807582855	0.036475419998168945	19	4	T1PKS - T1PKS	T1PKS
BGC0000051.1.region001	BGC0001580.1.region001	0.26906177401542664	0.534270703792572	0.3333333432674408	0.8555442094802856	0.3695652186870575	0.15059953927993774	0.12999999523162842	40	17	T1PKS - terpene.T1PKS	
BGC0001866.1.region001	BGC0002030.1.region001	1.734723475976807e-17	1.0	1.0	1.0	1.0	0.0	0.0	24	4	T1PKS - T1PKS	T1PKS
BGC0001976.1.region001	BGC0001977.1.region001	1.734723475976807e-17	1.0	1.0	1.0	1.0	0.0	0.0	19	2	T1PKS - T1PKS	T1PKS
BGC0000157.1.region001	BGC0000158.1.region001	0.019244741648435593	0.9618808627128601	0.9523809552192688	0.9913864135742188	0.8888888955116272	0.009792489930987358	0.0047821663320064545	65	20	T1PKS - T1PKS	T1PKS
BGC0001934.1.region001	BGC0002022.1.region001	0.02835511974990368	0.9440937638282776	1.0	0.9626906514167786	1.0	0.04578876867890358	0.0	44	10	T1PKS - T1PKS	T1PKS
BGC0000086.1.region001	BGC0001648.1.region001	0.24245890974998474	0.5738685131072998	0.7307692170143127	0.7676822543144226	0.6666666865348816	0.2727926969528198	0.09402818977832794	82	24	T1PKS - T1PKS	T1PKS
BGC0000039.1.region001	BGC0000098.1.region001	0.2162698358297348	0.6142329573631287	1.0	0.7154344320297241	1.0	0.3038104474544525	0.21400107443332672	11	3	T1PKS - T1PKS	T1PKS
BGC0001257.1.region001	BGC0001906.1.region001	0.2074573040008545	0.628123939037323	0.4117647111415863	0.9127883911132812	0.4117647111415863	0.10794410854578018	0.025014132261276245	6	2	T1PKS - T1PKS	T1PKS
BGC0000084.1.region001	BGC0001670.1.region001	0.18796436488628387	0.6594018340110779	0.8695651888847351	0.7979546785354614	0.7142857313156128	0.23354484140872955	0.09664301574230194	87	26	T1PKS - T1PKS	T1PKS
BGC0000059.1.region001	BGC0002032.1.region001	0.15656360983848572	0.7113849520683289	0.9047619104385376	0.8279162645339966	0.7586206793785095	0.20779204368591309	0.06750943511724472	82	28	T1PKS - T1PKS	T1PKS
BGC0000097.1.region001	BGC0001349.1.region001	0.2593894302845001	0.5485039949417114	0.7727272510528564	0.7317470908164978	0.7241379022598267	0.3053600490093231	0.14662382006645203	59	18	T1PKS - T1PKS	T1PKS
BGC0000062.1.region001	BGC0000063.1.region001	0.10214261710643768	0.8061478734016418	0.9090909361839294	0.8942059278488159	0.9130434989929199	0.10917585343122482	0.0832488164305687	20	3	T1PKS - T1PKS	T1PKS
BGC0000035.1.region001	BGC0000047.1.region001	0.12508709728717804	0.7654725909233093	0.9629629850387573	0.8483259677886963	0.9166666865348816	0.18063068389892578	0.043086640536785126	60	16	T1PKS - T1PKS	T1PKS
BGC0000118.1.region001	BGC0000119.1.region001	0.01744365319609642	0.9654169678688049	1.0	0.9770478010177612	1.0	0.026702865958213806	0.00044802867341786623	36	6	PKS-like.T1PKS.arylpolyene - PKS-like.T1PKS.arylpolyene	PKS-like.T1PKS.arylpolyene
BGC0001649.1.region001	BGC0001916.1.region001	1.734723475976807e-17	1.0	1.0	1.0	1.0	0.0	0.0	49	12	T1PKS - T1PKS	T1PKS
BGC0000004.1.region001	BGC0000008.1.region001	0.023669909685850143	0.9532204270362854	1.0	0.9688553810119629	1.0	0.03893077373504639	0.0	16	4	T1PKS - T1PKS	T1PKS
BGC0001257.1.region001	BGC0001258.1.region001	0.27581873536109924	0.5244385004043579	1.0	0.6370806097984314	1.0	0.4320741593837738	0.15545505285263062	6	2	T1PKS - T1PKS	T1PKS
BGC0001770.1.region001	BGC0001908.1.region001	1.734723475976807e-17	1.0	1.0	1.0	1.0	0.0	0.0	72	22	T1PKS - T1PKS	T1PKS
BGC0000076.1.region001	BGC0000077.1.region001	0.0003353639040142298	0.9993293881416321	1.0	0.9995587468147278	1.0	0.0005341668729670346	0.0	19	4	T1PKS - T1PKS	T1PKS
BGC0000006.1.region001	BGC0000008.1.region001	0.002241188660264015	0.9955226182937622	1.0	0.9970510601997375	1.0	0.0036861656699329615	0.0	16	4	T1PKS - T1PKS	T1PKS
BGC0001296.1.region001	BGC0001433.1.region001	0.18720471858978271	0.6606361865997314	0.9473684430122375	0.7701665759086609	0.9523809552192688	0.2607753872871399	0.12411494553089142	41	12	T1PKS - T1PKS	T1PKS
BGC0001662.1.region001	BGC0001932.1.region001	1.734723475976807e-17	1.0	1.0	1.0	1.0	0.0	0.0	153	55	T1PKS - T1PKS	T1PKS
BGC0000007.1.region001	BGC0000008.1.region001	0.02784213423728943	0.9450908899307251	1.0	0.9633656144142151	1.0	0.04003342613577843	0.023038238286972046	16	4	T1PKS - T1PKS	T1PKS
BGC0001784.1.region001	BGC0001939.1.region001	1.734723475976807e-17	1.0	1.0	1.0	1.0	0.0	0.0	70	18	T1PKS - T1PKS	T1PKS
BGC0000047.1.region001	BGC0001396.1.region001	0.11771394312381744	0.7784286737442017	0.9629629850387573	0.8586794137954712	0.8918918967247009	0.15919198095798492	0.07298874855041504	65	17	T1PKS - T1PKS	T1PKS
BGC0001812.1.region001	BGC0001830.1.region001	0.2740993797779083	0.5269317030906677	0.75	0.7239064574241638	0.5365853905677795	0.3204784691333771	0.12074633687734604	56	16	T1PKS - T1PKS	T1PKS
BGC0001004.1.region001	BGC0001183.1.region001	0.11572656780481339	0.7819395065307617	0.9512194991111755	0.8669273257255554	0.8070175647735596	0.13149140775203705	0.1392151564359665	101	26	NRPS.T3PKS.oligosaccharide.T1PKS.NRPS-like - T1PKS.oligosaccharide	
BGC0000004.1.region001	BGC0000007.1.region001	0.04699716344475746	0.9082143902778625	1.0	0.9381616115570068	1.0	0.07153840363025665	0.023038238286972046	16	4	T1PKS - T1PKS	T1PKS
BGC0000115.1.region001	BGC0000116.1.region001	0.2988894283771515	0.4915560185909271	0.75	0.6885395646095276	0.6410256624221802	0.3669847846031189	0.1361205130815506	120	38	T1PKS - T1PKS	T1PKS
BGC0000115.1.region001	BGC0001709.1.region001	0.12672118842601776	0.7626158595085144	0.9090909361839294	0.8613922595977783	0.931034505367279	0.1636350303888321	0.06616034358739853	110	38	T1PKS - T1PKS	T1PKS
BGC0000091.1.region001	BGC0001063.1.region001	0.27306315302848816	0.5284371972084045	0.9200000166893005	0.6673730611801147	0.8666666746139526	0.3363538384437561	0.3229370415210724	26	10	prodigiosin.NRPS-like.T1PKS - prodigiosin.NRPS-like.T1PKS	prodigiosin.NRPS-like.T1PKS
BGC0000087.1.region001	BGC0001648.1.region001	0.21619108319282532	0.6143563985824585	0.7407407164573669	0.7978967428207397	0.7222222089767456	0.239346444606781	0.07640758156776428	81	24	T1PKS - T1PKS	T1PKS
BGC0001378.1.region001	BGC0001804.1.region001	1.734723475976807e-17	1.0	1.0	1.0	1.0	0.0	0.0	37	2	T1PKS - T1PKS	T1PKS
BGC0000006.1.region001	BGC0000009.1.region001	0.10492265224456787	0.8011634349822998	0.9411764740943909	0.8831268548965454	0.8421052694320679	0.13570472598075867	0.0415467843413353	16	4	T1PKS - T1PKS	T1PKS
BGC0000035.1.region001	BGC0001396.1.region001	0.17044620215892792	0.6881595253944397	0.8620689511299133	0.8215771317481995	0.7749999761581421	0.19771352410316467	0.10806867480278015	62	17	T1PKS - T1PKS	T1PKS
BGC0000113.1.region001	BGC0002033.1.region001	0.23666301369667053	0.5826833844184875	1.0	0.6886013150215149	1.0	0.36528080701828003	0.173325777053833	41	16	T1PKS - T1PKS.oligosaccharide	
BGC0001541.1.region001	BGC0001542.1.region001	0.23277929425239563	0.5886275768280029	1.0	0.6986456513404846	0.8125	0.32746148109436035	0.10555088520050049	15	2	T1PKS - T1PKS	T1PKS
BGC0001452.1.region001	BGC0001522.1.region001	0.023226924240589142	0.954085648059845	1.0	0.9694382548332214	1.0	0.034945033490657806	0.012829327955842018	89	22	T1PKS.oligosaccharide - T1PKS.oligosaccharide	T1PKS.oligosaccharide
BGC0000096.1.region001	BGC0002033.1.region001	0.28607866168022156	0.5096836686134338	0.6818181872367859	0.7241446375846863	0.6785714030265808	0.32839319109916687	0.10839109867811203	51	16	T1PKS - T1PKS.oligosaccharide	
BGC0000004.1.region001	BGC0000006.1.region001	0.023194076493382454	0.9541497826576233	1.0	0.9694814682006836	1.0	0.03814815357327461	0.0	16	4	T1PKS - T1PKS	T1PKS
BGC0000096.1.region001	BGC0001931.1.region001	0.2647777795791626	0.5405517220497131	0.692307710647583	0.7507389187812805	0.6176470518112183	0.2933162748813629	0.0978212058544159	55	16	T1PKS - T1PKS.oligosaccharide	
BGC0000008.1.region001	BGC0000009.1.region001	0.10502105206251144	0.8009873032569885	0.9411764740943909	0.8829973936080933	0.8421052694320679	0.13586656749248505	0.0415467843413353	16	4	T1PKS - T1PKS	T1PKS
BGC0001264.1.region001	BGC0001280.1.region001	1.734723475976807e-17	1.0	1.0	1.0	1.0	0.0	0.0	13	2	T1PKS - T1PKS	T1PKS
BGC0001523.1.region001	BGC0001700.1.region001	0.27731746435165405	0.5222700238227844	0.6666666865348816	0.7408877611160278	0.6470588445663452	0.2814967930316925	0.19827227294445038	106	39	T1PKS - T1PKS	T1PKS
BGC0000003.1.region001	BGC0000003.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000121.1.region001	BGC0000121.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001265.1.region001	BGC0001265.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000032.1.region001	BGC0000032.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001281.1.region001	BGC0001281.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001598.1.region001	BGC0001598.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001495.1.region001	BGC0001495.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001874.1.region001	BGC0001874.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000149.1.region001	BGC0000149.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000033.1.region001	BGC0000033.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001348.1.region001	BGC0001348.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001404.1.region001	BGC0001404.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000042.1.region001	BGC0000042.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001144.1.region001	BGC0001144.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000027.1.region001	BGC0000027.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000028.1.region001	BGC0000028.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000135.1.region001	BGC0000135.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000073.1.region001	BGC0000073.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000093.1.region002	BGC0000093.1.region002	0	1	1	1	1	0	0	1	1		
BGC0000078.1.region001	BGC0000078.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001447.1.region001	BGC0001447.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001755.1.region001	BGC0001755.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001118.1.region001	BGC0001118.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001403.1.region001	BGC0001403.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001537.1.region001	BGC0001537.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001124.1.region001	BGC0001124.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000053.1.region001	BGC0000053.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000684.1.region001	BGC0000684.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001194.1.region001	BGC0001194.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001578.1.region001	BGC0001578.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001266.1.region001	BGC0001266.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000152.1.region001	BGC0000152.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001273.1.region001	BGC0001273.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000112.1.region001	BGC0000112.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001489.1.region001	BGC0001489.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001763.1.region001	BGC0001763.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001697.1.region001	BGC0001697.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000040.1.region001	BGC0000040.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000986.1.region001	BGC0000986.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000105.1.region001	BGC0000105.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000011.1.region001	BGC0000011.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000056.1.region001	BGC0000056.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000156.1.region001	BGC0000156.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001284.1.region001	BGC0001284.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001199.1.region001	BGC0001199.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000043.1.region001	BGC0000043.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001060.1.region001	BGC0001060.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001244.1.region001	BGC0001244.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000120.1.region001	BGC0000120.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000162.1.region001	BGC0000162.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000143.1.region001	BGC0000143.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000046.1.region001	BGC0000046.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000103.1.region001	BGC0000103.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001886.1.region001	BGC0001886.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001245.1.region001	BGC0001245.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001038.1.region001	BGC0001038.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000147.1.region001	BGC0000147.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001293.1.region001	BGC0001293.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001205.1.region001	BGC0001205.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000682.1.region001	BGC0000682.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001143.1.region001	BGC0001143.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001338.1.region001	BGC0001338.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000037.1.region001	BGC0000037.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000080.1.region001	BGC0000080.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001056.1.region001	BGC0001056.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001169.1.region001	BGC0001169.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001067.1.region001	BGC0001067.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000961.1.region001	BGC0000961.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001773.1.region001	BGC0001773.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001729.1.region001	BGC0001729.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001899.1.region001	BGC0001899.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001694.1.region001	BGC0001694.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000159.1.region001	BGC0000159.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001254.1.region001	BGC0001254.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001597.1.region001	BGC0001597.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001246.1.region001	BGC0001246.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000021.1.region001	BGC0000021.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001892.1.region001	BGC0001892.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001035.1.region001	BGC0001035.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001722.1.region001	BGC0001722.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000054.1.region001	BGC0000054.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000104.1.region001	BGC0000104.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000167.1.region001	BGC0000167.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001998.1.region001	BGC0001998.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001907.1.region001	BGC0001907.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001330.1.region001	BGC0001330.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000124.1.region001	BGC0000124.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000111.1.region001	BGC0000111.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000142.1.region001	BGC0000142.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001305.1.region001	BGC0001305.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000048.1.region001	BGC0000048.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001242.1.region001	BGC0001242.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001172.1.region001	BGC0001172.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001944.1.region001	BGC0001944.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001046.1.region001	BGC0001046.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000081.1.region001	BGC0000081.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001275.1.region001	BGC0001275.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001446.1.region001	BGC0001446.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001658.1.region001	BGC0001658.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000070.1.region001	BGC0000070.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001303.1.region001	BGC0001303.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000093.1.region001	BGC0000093.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000057.1.region001	BGC0000057.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000126.1.region001	BGC0000126.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000038.1.region001	BGC0000038.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000935.1.region001	BGC0000935.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001276.1.region001	BGC0001276.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000092.1.region001	BGC0000092.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000134.1.region001	BGC0000134.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001708.1.region001	BGC0001708.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000082.1.region001	BGC0000082.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001373.1.region001	BGC0001373.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001583.1.region001	BGC0001583.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000151.1.region001	BGC0000151.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000072.1.region001	BGC0000072.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000030.1.region001	BGC0000030.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000123.1.region001	BGC0000123.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001492.1.region001	BGC0001492.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000069.1.region001	BGC0000069.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001865.1.region001	BGC0001865.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000044.1.region001	BGC0000044.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000146.1.region001	BGC0000146.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001720.1.region001	BGC0001720.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000041.1.region001	BGC0000041.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001504.1.region001	BGC0001504.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001339.1.region001	BGC0001339.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000133.1.region001	BGC0000133.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001304.1.region001	BGC0001304.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001141.1.region001	BGC0001141.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000154.1.region001	BGC0000154.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000013.1.region001	BGC0000013.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000144.1.region001	BGC0000144.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000060.1.region001	BGC0000060.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000058.1.region001	BGC0000058.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001827.1.region001	BGC0001827.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001400.1.region001	BGC0001400.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001298.1.region001	BGC0001298.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000094.1.region001	BGC0000094.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000026.1.region001	BGC0000026.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000992.1.region001	BGC0000992.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001068.1.region001	BGC0001068.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000023.1.region001	BGC0000023.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001828.1.region001	BGC0001828.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001204.1.region001	BGC0001204.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000109.1.region001	BGC0000109.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000050.1.region001	BGC0000050.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001072.1.region001	BGC0001072.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001508.1.region001	BGC0001508.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001988.1.region001	BGC0001988.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000160.1.region001	BGC0000160.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000864.1.region001	BGC0000864.1.region001	0	1	1	1	1	0	0	1	1		
BGC0002010.1.region001	BGC0002010.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000161.1.region001	BGC0000161.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000164.1.region001	BGC0000164.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000153.1.region001	BGC0000153.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000099.1.region001	BGC0000099.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000128.1.region001	BGC0000128.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001159.1.region001	BGC0001159.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000129.1.region001	BGC0000129.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001653.1.region001	BGC0001653.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000141.1.region001	BGC0000141.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000127.1.region001	BGC0000127.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000117.1.region001	BGC0000117.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001340.1.region001	BGC0001340.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001909.1.region001	BGC0001909.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000012.1.region001	BGC0000012.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000052.1.region001	BGC0000052.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000079.1.region001	BGC0000079.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000170.1.region001	BGC0000170.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000977.1.region001	BGC0000977.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000045.1.region001	BGC0000045.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000114.1.region001	BGC0000114.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000110.1.region001	BGC0000110.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000168.1.region001	BGC0000168.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000022.1.region001	BGC0000022.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001252.1.region001	BGC0001252.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001200.1.region001	BGC0001200.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001926.1.region001	BGC0001926.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000055.1.region001	BGC0000055.1.region001	0	1	1	1	1	0	0	1	1		
BGC0000068.1.region001	BGC0000068.1.region001	0	1	1	1	1	0	0	1	1		
BGC0001742.1.region001	BGC0001742.1.region001	0	1	1	1	1	0	0	1	1		
